tiempo, patron
0.0621317740545 , amor
0.01244720137 , odio
0.0361773976518 , un padre
0.000165377230387 , agua
0.00930913764597 , aire
0.0298561300169 , desgracia
0.00365963806598 , edad
0.00548904673364 , ciudad
0.0618047128817 , pais
0.0229496814129 , los prejuicios
0.0241881639968 , enormes enigmas
0.000239653356193 , nombre
0.0267714137866 , tecnologia
0.00251677060537 , futuro
0.00570941291904 , pasado
0.026582645732 , hermosos dias
0.00452591929017 , nn
0.00499291504247 , flores
0.00137267204874 , mensaje
0.000189588785208 , as
0.00972073407793 , alto
0.00172353441098 , bajo
0.00212815463222 , noche
0.0247922217713 , una sola cosa
0.0485712515281 , joven
0.0365508301075 , anciano
0.00316268564415 , uno
0.000304491079273 , dos
0.0136261809801 , pez
0.0233473254234 , no cumple con su tarea
