tiempo, patron
0.0466058254241943,bxktj
0.0200889110565186,nwemlporccijehnwz ua
0.0135149955749512,nrpxxzjesqqszgikjcix
0.0156469345092773,ssljlhiejscwctyxf xs
0.0166349411010742,ltlytgtgiaktjyoabm
0.0240321159362793,pamazsjjidc
0.0487520694732666,liagb
0.012563943862915,rtsnirseypndddcbvqczvd
0.012113094329834,hdwckhur fpjrkijumdmxypdnl
0.000253915786743164,l
0.0793838500976562,gne
0.0135810375213623,zbagcsaadtpaybgnzcfjg 
0.0162899494171143,yzmyjwfhbknodasqcku
0.0123746395111084,zsuqykytotaulrvcsspiqgqnolotp
0.0197281837463379,sdpopbxictuilg
0.0154380798339844,kktcjthnvhrffzsst
0.0579380989074707,ibkb
0.031494140625,eog joobe
0.051487922668457,kccia
0.0798900127410889,qqi
0.0234317779541016,djybnd bujtlb
0.0182600021362305,qyfkgtrunxgydtlh
0.0357282161712646,koypxyb
0.0137708187103271,jcrlgzriuvgrrevxlqhjror
0.0507581233978271,tngtk
0.0359172821044922,uzblgxt
0.0177197456359863,hahenewkycyrvujqe
0.0360279083251953,vzjcvwi
0.0227460861206055,rwkqdka hdkpntam
0.0231359004974365,gtc qnffdujyi
0.000280857086181641,l
0.0174100399017334, euecrbvsnklqv fpoxmucim
0.0143458843231201,ypyxpfdloqpovkwrmrhkslr jv
0.121692895889282,uq
0.0141968727111816,lrxxojvoxdarnboisqtcxbylg
0.0283467769622803,xksjetlzbq
0.0144407749176025,ixexhuuuviivxeeyjdkp
0.0306470394134521,rndeidtdh
0.017866849899292,atwwuju gqshovo  z
0.0214879512786865, hnbudpgfjyw
0.0616650581359863,yrlq
0.0183150768280029,gpqt gmegxhgnflj
0.0227119922637939,tikhcstizlavv
0.0138380527496338,kgxamuerrhvqsjjsrnxyz
0.0353050231933594,fsuszsq
0.0151700973510742,ojcbopgfdraktdrqureifa
0.0302939414978027,habsftfet
0.0113768577575684, zhyqqmasafdjwqdvdwobuljdgoq
0.115190029144287,yg
0.0294997692108154,egllkmutan o
0.0119478702545166,hzwpsaeivgtlzszrbkfwhuqczr
0.0276949405670166,cltjdqfeib
0.0188369750976562,dkkmuqkwqoroixe
0.0161261558532715,hdmvlzcyvdbgzkmq
0.036829948425293,fesvrss
0.0137307643890381,ltaf dckgoxcccuovbzaseunebep
0.0580637454986572,kzxk
0.0616781711578369,pezs
0.0210371017456055,ochobsswxlikp
0.0150802135467529,qiadkjvmbwfyqahzduo
0.0176069736480713,smiahfrstsshhcty
0.0134129524230957,nammlfqcqz jpgbveacegtxshnya
0.0135936737060547,vwzkxjyfuamowgykbox kfhit
0.014899730682373,cpuugeuy msxewspdefuwrloqb
0.0234520435333252,rs yfibzmgc
0.0115900039672852,mxexghzgetzarafkxfdlhiftgrcdvs
