tiempo, patron
0.0417891436209 , amor
0.00836858029598 , odio
0.0258698411435 , un padre
0.000115312659401 , agua
0.00689988275862 , aire
0.0210517417341 , desgracia
0.00265137043556 , edad
0.00394073832111 , ciudad
0.0413496423461 , pais
0.0158712897331 , los prejuicios
0.016739622784 , enormes enigmas
0.000178919286473 , nombre
0.0194701937294 , tecnologia
0.00190737808148 , futuro
0.00468473067518 , pasado
0.0195551393539 , hermosos dias
0.00324393798067 , nn
0.00355294307863 , flores
0.00103412064659 , mensaje
0.000156349192996 , as
0.00654737893504 , alto
0.00124504842927 , bajo
0.00157210960202 , noche
0.018099163142 , una sola cosa
0.0341785081004 , joven
0.0272864222832 , anciano
0.00233251656953 , uno
0.000226111300107 , dos
0.00949051912446 , pez
0.0173338317904 , no cumple con su tarea
