tiempo, patron
0.04647397995 , amor
0.00920414924622 , odio
0.0278010368347 , un padre
0.000123977661133 , agua
0.00745105743408 , aire
0.0224139690399 , desgracia
0.0029399394989 , edad
0.00444388389587 , ciudad
0.0458810329437 , pais
0.017138004303 , los prejuicios
0.018346786499 , enormes enigmas
0.000186920166016 , nombre
0.0206599235535 , tecnologia
0.00197720527649 , futuro
0.00464582443237 , pasado
0.0207371711731 , hermosos dias
0.00357294082642 , nn
0.00551891326904 , flores
0.00117993354797 , mensaje
0.000163793563843 , as
0.007159948349 , alto
0.00138998031616 , bajo
0.00176405906677 , noche
0.0191028118134 , una sola cosa
0.0398669242859 , joven
0.0308549404144 , anciano
0.00255608558655 , uno
0.000251054763794 , dos
0.0108461380005 , pez
0.0180070400238 , no cumple con su tarea
