Experiment,Student,Problem,"Times
Speaking","Total Speech
Duration","Times Speaking
About Numbers",Average Distance to table center,Movement amount,totalStrokes,averagePathLength,averageLength,averageTimeLength,leader,expert 
G1D1,S1,1A,14,21,6,128.98082,1252661,6,66.6386931101129,50.18449277853873,399,1,1 
G1D1,S1,2A,18,28,6,132.02594,64165,16,49.115603452741226,40.72055113449385,221,1,1 
G1D1,S1,4A,15,35,4,133.02289,292512,1,1.9643470802648584,0.5153882032022076,373,1,1 
G1D1,S1,1B,10,19,3,129.00133,9477,14,38.68409514757412,15.917005902302503,251,1,1 
G1D1,S1,2B,12,26,9,132.30505,66405,9,30.29583900167373,9.144256459241774,296,1,1 
G1D1,S1,3B,24,64,7,142.61844,36968,33,18.423734417317576,8.443755220915621,174,1,1 
G1D1,S1,4B,50,112,16,142.46086,112349,41,29.402288224324405,18.288743893364412,218,1,1 
G1D1,S1,1C,26,62,9,140.45837,266335,26,25.907895265630625,13.988688714738105,203,1,1 
G1D1,S1,2C,10,30,5,137.75781,18461,32,28.830589483253572,15.523228572456835,208,1,1 
G1D1,S1,3C,26,59,12,146.87416,75451,37,35.765987248131005,15.100429911616159,180,1,1 
G1D1,S1,4C,43,91,19,143.11453,8070,59,31.695551705672553,18.736257920817145,224,1,1 
G1D1,S1,1D,8,32,3,142.90843,14353,8,58.14392785167453,51.66049788147576,183,1,1 
G1D1,S1,2D,16,35,6,143.41974,3222,18,60.19548468167606,29.232569845451323,359,1,1 
G1D1,S1,3D,11,26,4,143.62987,15384,16,41.98337560241937,28.259699154614577,221,1,1 
G1D1,S1,4D,22,76,10,145.37491,16981,26,48.6169260407324,25.616199691916794,245,1,1 
G1D1,S2,1A,6,7,1,120.18901,879266,4,4.113163433170801,1.114565220864724,439,0,0 
G1D1,S2,2A,9,13,2,118.9129,622333,12,39.455868633854074,11.106310290579792,415,0,0 
G1D1,S2,3A,7,4,1,120.971825,475840,8,1.035647003493255,0.6794279552889092,89,0,0 
G1D1,S2,4A,11,7,1,121.79323,41918,22,7.328779176173189,1.706560080017225,186,0,0 
G1D1,S2,4B,26,17,6,136.73975,118045,17,31.782544090407068,11.662486715449484,296,0,0 
G1D1,S2,1C,19,18,6,127.68625,71175,13,22.658075736185076,10.522954420463169,243,0,0 
G1D1,S2,2C,12,24,3,121.795715,970,33,28.113269735969734,13.513030927304024,236,0,0 
G1D1,S2,3C,15,11,3,126.44124,0,21,29.992836874131918,12.41888715278129,233,0,0 
G1D1,S2,4C,28,37,7,123.859245,2147,48,36.85934695865787,21.81202425180248,197,0,0 
G1D1,S2,1D,10,8,3,160.23708,0,16,36.14541307102274,16.668362459120885,326,0,0 
G1D1,S2,4D,24,26,5,159.09505,0,13,104.52770637675073,49.845600026359406,424,0,0 
